INDEX,max_level,max_flat
1--EH1 1PZ,6,2
1--EH1 1SW,3,3
1--EH1 2JN,5,5
1--EH1 2PF,9,4
1--EH1 3NR,1,1
1--EH1 3RL,3,3
1--EH10 4AR,2,1
1--EH10 4BE,3,3
1--EH10 4BR,3,2
1--EH10 4DX,1,1
1--EH10 4EX,4,3
1--EH10 4HT,3,2
1--EH10 4JD,4,2
1--EH10 4JJ,2,2
1--EH10 4JR,3,2
1--EH10 4JW,4,2
1--EH10 4LP,4,2
1--EH10 4QB,3,3
1--EH10 4QR,3,3
1--EH10 4QS,3,2
1--EH10 4RB,3,2
1--EH10 5HJ,3,4
1--EH10 5HZ,3,2
1--EH10 5JB,3,2
1--EH10 6AF,3,2
1--EH11 1BR,3,4
1--EH11 1DT,3,4
1--EH11 1DZ,3,3
1--EH11 1EG,3,3
1--EH11 1JH,2,3
1--EH11 1JW,2,4
1--EH11 1NS,3,3
1--EH11 1QH,2,2
1--EH11 1QP,3,3
1--EH11 1UA,3,3
1--EH11 2AD,3,4
1--EH11 2BY,3,2
1--EH11 2DA,3,2
1--EH11 2DP,3,3
1--EH11 2DU,3,3
1--EH11 2EH,3,5
1--EH11 2JL,1,1
1--EH11 2JN,3,2
1--EH11 2LG,3,3
1--EH11 2NZ,3,4
1--EH11 2PA,3,4
1--EH11 2PS,3,3
1--EH11 2RA,3,3
1--EH11 3AQ,2,2
1--EH11 3BB,2,2
1--EH11 3BE,1,1
1--EH11 3BG,2,2
1--EH11 3BL,2,2
1--EH11 3DT,2,2
1--EH11 3ER,2,2
1--EH11 3EW,2,2
1--EH12 5DS,2,2
1--EH12 5NJ,3,3
1--EH12 5NP,3,3
1--EH12 5NW,3,3
1--EH12 5PD,3,3
1--EH12 6XQ,3,2
1--EH12 7TS,2,2
1--EH12 8BA,2,2
1--EH13 0DH,1,1
1--EH13 9JX,2,1
1--EH13 9LE,1,2
1--EH13 9LG,2,2
1--EH14 1NN,3,3
1--EH15 1AT,2,2
1--EH15 1DP,3,2
1--EH15 1DU,3,2
1--EH15 1EB,3,2
1--EH15 1HZ,2,1
1--EH15 1JA,3,3
1--EH15 1LW,2,1
1--EH15 2BA,3,3
1--EH15 2LX,8,2
1--EH16 5LE,2,2
1--EH16 5LF,2,2
1--EH16 5RF,2,2
1--EH16 5SY,2,1
1--EH16 5TA,2,2
1--EH16 6BQ,2,2
1--EH17 8NH,1,2
1--EH2 2EY,3,3
1--EH2 4AN,2,4
1--EH2 4PH,3,2
1--EH22 1AT,2,2
1--EH3 5AJ,3,2
1--EH3 5BN,3,2
1--EH3 5BU,3,2
1--EH3 5ER,3,2
1--EH3 5ES,2,2
1--EH3 5LG,2,2
1--EH3 5LJ,2,2
1--EH3 5QU,4,2
1--EH3 6LF,3,2
1--EH3 6LZ,3,3
1--EH3 6ND,3,3
1--EH3 6NQ,3,2
1--EH3 6PB,3,2
1--EH3 6PP,3,2
1--EH3 6SW,3,2
1--EH3 6TE,3,2
1--EH3 7AA,3,3
1--EH3 9BP,3,3
1--EH3 9HP,3,3
1--EH3 9JD,3,2
1--EH3 9LB,3,2
1--EH3 9LL,3,2
1--EH3 9LP,3,2
1--EH3 9LT,3,2
1--EH3 9NY,2,2
1--EH3 9QJ,4,3
1--EH3 9QX,4,3
1--EH3 9QZ,4,3
1--EH30 9PR,2,2
1--EH4 1DZ,3,4
1--EH4 1HY,2,2
1--EH4 1JA,3,2
1--EH4 1NG,2,2
1--EH4 2NG,2,2
1--EH4 2NQ,2,2
1--EH4 2PS,2,2
1--EH4 2RG,2,2
1--EH4 3NE,2,2
1--EH4 4BD,1,2
1--EH4 4BG,1,2
1--EH4 4BU,2,1
1--EH4 4DG,2,2
1--EH4 4DP,1,2
1--EH4 4PX,2,1
1--EH4 6NR,1,2
1--EH5 1DR,1,2
1--EH5 1DU,1,2
1--EH5 1DY,2,2
1--EH5 1EQ,2,2
1--EH5 1NA,2,2
1--EH5 1NU,1,1
1--EH5 2NQ,1,2
1--EH5 3AA,1,2
1--EH5 3BP,4,2
1--EH5 3DZ,2,2
1--EH5 3LE,3,2
1--EH5 3NE,2,2
1--EH5 3RX,3,3
1--EH6 4AG,3,2
1--EH6 4EY,2,2
1--EH6 4JR,4,3
1--EH6 4LG,1,2
1--EH6 4PL,3,2
1--EH6 4QU,1,2
1--EH6 5BG,4,3
1--EH6 5BY,3,3
1--EH6 5QD,2,2
1--EH6 5QH,2,2
1--EH6 5QN,3,2
1--EH6 6AA,3,2
1--EH6 6DB,3,3
1--EH6 6SB,3,2
1--EH6 6SJ,3,2
1--EH6 7BL,3,2
1--EH6 7JQ,2,2
1--EH6 8AP,2,2
1--EH6 8AQ,2,2
1--EH6 8DT,1,2
1--EH6 8LU,2,2
1--EH6 8QN,3,4
1--EH6 8QT,3,4
1--EH6 8SG,3,3
1--EH6 8SS,2,2
1--EH7 4AB,4,2
1--EH7 4AW,3,1
1--EH7 4BU,4,2
1--EH7 4JB,2,2
1--EH7 5EZ,3,3
1--EH7 5JH,3,2
1--EH7 5LA,3,3
1--EH7 5LX,3,3
1--EH7 5NB,3,1
1--EH7 5PH,3,2
1--EH7 5QJ,3,3
1--EH7 5QR,3,4
1--EH7 5QX,3,4
1--EH7 5RN,3,3
1--EH7 5SF,3,3
1--EH7 5SJ,3,2
1--EH7 5TL,2,2
1--EH7 5TQ,2,3
1--EH7 5UF,4,3
1--EH7 6AF,3,4
1--EH7 6DT,2,2
1--EH7 6EQ,2,2
1--EH7 6EU,2,2
1--EH7 6HB,1,2
1--EH7 6HJ,1,2
1--EH7 6JU,2,1
1--EH7 6LJ,2,1
1--EH7 6NH,2,2
1--EH7 6NU,2,2
1--EH8 7AW,1,1
1--EH8 7AZ,2,2
1--EH8 7BD,2,2
1--EH8 7BP,2,2
1--EH8 7QG,2,1
1--EH8 7QQ,2,2
1--EH8 8BE,4,2
1--EH8 8DD,3,2
1--EH8 8EJ,4,3
1--EH8 8EZ,2,3
1--EH8 9DA,3,2
1--EH8 9DR,3,2
1--EH8 9HP,3,2
1--EH8 9JA,3,2
1--EH8 9JH,4,2
1--EH8 9NB,4,2
1--EH8 9PD,2,1
1--EH8 9QF,3,2
1--EH8 9QZ,4,3
1--EH9 1DX,3,2
1--EH9 1EJ,3,2
1--EH9 1HY,3,2
1--EH9 1JB,3,3
1--EH9 1JS,3,3
1--EH9 1LE,2,2
1--EH9 1LX,3,2
1--EH9 1NN,3,3
1--EH9 1NP,3,2
1--EH9 1NQ,3,2
1--EH9 1PB,3,3
1--EH9 2AG,3,2
1--EH9 2BW,2,1
1--EH9 3BP,2,2
1--EH9 3DD,2,2
1--EH9 3EB,3,2
1--G12 0AP,4,3
1-1-23-F---EH7 5JH,3,1
1-11-A----EH41 3LL,1,1
1-11-F----EH5 3AA,1,1
1-11-F----EH7 5NQ,1,1
1-12-A----EH41 4AF,2,1
1-12-F----EH4 4TN,2,1
1-126-A----PA16 8SH,6,1
1-13-F----EH8 7LY,3,1
1-132-F----EH8 9TL,2,1
1-16-F----EH10 5AE,6,1
1-16-G----EH15 1LE,6,1
1-166-F----EH8 8DP,6,1
1-17-C----EH6 8NT,7,1
1-17-E----EH1 3PX,7,1
1-18-A----EH8 7AQ,8,1
1-1881-F----EH16 5DU,1,1
1-20-D----EH11 3UE,0,1
1-21-F----EH11 2JA,1,1
1-21-F----EH12 8BB,1,1
1-24-F----EH12 5FD,4,1
1-33-F----EH8 9EU,3,1
1-362-F----EH11 2BA,2,1
1-41-F----EH3 9HW,1,1
1-44-B----EH11 3TZ,4,1
1-44-B----G66 1JL,4,1
1-46-A----EH32 9AF,6,1
1-46-S----EH4 8BJ,6,1
1-47-F----EH7 4LY,7,1
1-48-S----EH4 8BJ,8,1
1-50-A----EH41 3QA,0,1
1-54-A----EH32 9LG,4,1
1-57-A----EH41 3AN,7,1
1-60-A----EH41 3BG,0,1
1-62-B----EH42 1JH,2,1
1-64-B----EH7 6LE,4,1
1-65-A----EH41 3LN,5,1
1-8-F-2-F--EH6 8NT,2,1
1-85-F----EH7 4NJ,5,1
1-95-A----EH32 9AD,5,1
1-A--EH11 2PS,3,2
1-A--EH15 1HG,1,2
1-A--EH15 1LW,2,2
1-A--EH15 2BL,1,4
1-A--EH6 4DJ,2,3
1-A--EH7 6EU,2,2
1-B--EH3 5JU,3,2
1-B-1----EH4 5NX,1,1
1-C--EH10 5HT,3,2
1-C--EH11 1RF,1,2
1-C-1----EH4 2SA,1,1
1-C-1----EH4 5AF,1,1
1-C-1----EH4 5NX,1,1
1-C-5----EH12 7SX,1,5
1-G-1----EH9 1NN,1,1
1-M-----F3 7RA,1,3
1-S-2-26---EH11 1JY,1,2
10--EH1 1HD,4,2
10--EH1 2QZ,3,2
10--EH1 3LD,1,1
10--EH10 4ED,3,2
10--EH10 4EP,4,2
10--EH10 4HT,3,2
10--EH10 4JB,2,2
10--EH10 4LW,4,2
10--EH10 4QA,3,4
10--EH10 4QS,3,3
10--EH10 5AB,3,2
10--EH10 5HG,1,2
10--EH10 5PA,3,3
10--EH10 6AF,3,2
10--EH10 6AH,3,3
10--EH10 9PA,2,3
10--EH11 1AZ,3,4
10--EH11 1DU,3,4
10--EH11 1EA,3,3
10--EH11 1EE,3,4
10--EH11 1HE,3,4
10--EH11 1HW,3,2
10--EH11 1JZ,3,2
10--EH11 1LH,2,3
10--EH11 1QZ,3,2
10--EH11 1TS,3,4
10--EH11 1UB,3,4
10--EH11 2AS,3,2
10--EH11 2DG,3,2
10--EH11 2EN,3,4
10--EH11 2JA,3,3
10--EH11 2JR,3,2
10--EH11 2LH,3,4
10--EH11 2PE,3,4
10--EH11 2PQ,3,4
10--EH11 3BJ,2,2
10--EH11 3DS,2,2
10--EH11 3HJ,1,2
10--EH11 3HY,1,2
10--EH11 3JB,1,2
10--EH11 4QN,2,2
10--EH12 5QA,2,2
10--EH12 5QD,2,2
10--EH12 5TD,1,2
10--EH12 5TJ,1,2
10--EH12 5UN,1,2
10--EH12 6AA,3,2
10--EH12 7TD,1,2
10--EH12 7TN,1,2
10--EH12 7TW,1,2
10--EH14 1NR,2,2
10--EH14 1PL,3,4
10--EH14 1PR,3,4
10--EH14 1RB,1,2
10--EH14 1RR,2,2
10--EH15 1AP,2,2
10--EH15 1DT,3,2
10--EH15 1EA,3,3
10--EH15 1QR,1,2
10--EH15 2BG,3,2
10--EH15 2BL,1,1
10--EH15 2DT,1,1
10--EH16 4NQ,2,1
10--EH16 5BL,3,2
10--EH16 5BP,3,2
10--EH16 5EY,2,2
10--EH16 5TP,1,2
10--EH16 6BE,2,2
10--EH19 4EX,2,2
10--EH3 5AL,3,2
10--EH3 5DN,2,1
10--EH3 5DS,3,2
10--EH3 5HE,2,2
10--EH3 5JP,3,2
10--EH3 5QX,3,2
10--EH3 6PZ,3,2
10--EH3 6RY,3,2
10--EH3 7PT,3,3
10--EH3 8AU,3,2
10--EH3 8DU,3,4
10--EH3 9AS,3,2
10--EH3 9HW,3,2
10--EH3 9JH,3,2
10--EH3 9JJ,3,3
10--EH3 9LA,3,2
10--EH3 9LG,3,3
10--EH3 9LN,3,2
10--EH3 9LS,3,2
10--EH3 9LY,3,2
10--EH3 9NB,4,3
10--EH3 9NP,2,2
10--EH3 9PG,4,2
10--EH3 9QQ,4,2
10--EH3 9QY,4,3
10--EH4 1AZ,3,2
10--EH4 1BZ,2,2
10--EH4 1DE,2,2
10--EH4 1DU,3,3
10--EH4 1JE,4,4
10--EH4 1JW,3,4
10--EH4 1ND,3,2
10--EH4 1NH,3,2
10--EH4 2NH,2,2
10--EH4 2SF,3,2
10--EH4 3NG,2,3
10--EH4 4PY,2,2
10--EH5 1BQ,2,2
10--EH5 1DQ,2,2
10--EH5 3AA,1,2
10--EH6 4AG,2,3
10--EH6 4AS,3,2
10--EH6 4DT,3,4
10--EH6 4EX,1,2
10--EH6 4HE,2,1
10--EH6 4JL,3,4
10--EH6 4PJ,3,2
10--EH6 4RY,3,2
10--EH6 4SH,1,1
10--EH6 4ST,3,2
10--EH6 5EY,3,2
10--EH6 5HY,4,3
10--EH6 5PX,3,2
10--EH6 6HN,4,3
10--EH6 7EF,3,5
10--EH6 7EQ,4,2
10--EH6 7HR,3,4
10--EH6 8AR,2,1
10--EH6 8HQ,3,2
10--EH6 8QU,3,2
10--EH6 8RA,3,3
10--EH6 8RL,3,4
10--EH7 4AA,3,2
10--EH7 4BH,3,2
10--EH7 4LL,1,2
10--EH7 4NY,3,1
10--EH7 4NZ,3,3
10--EH7 4PR,2,2
10--EH7 5DR,3,2
10--EH7 5ED,3,3
10--EH7 5HB,3,2
10--EH7 5PS,3,4
10--EH7 5SG,3,4
10--EH7 5SN,3,2
10--EH7 5SY,2,2
10--EH7 5UA,3,3
10--EH7 5UE,3,3
10--EH7 5UL,3,3
10--EH7 6BP,2,2
10--EH7 6EX,2,2
10--EH7 6HL,1,2
10--EH7 6JN,1,3
10--EH7 6LD,3,2
10--EH7 6LW,2,2
10--EH7 6NQ,1,2
10--EH7 6NX,2,2
10--EH7 6PB,2,2
10--EH7 6PG,2,1
10--EH8 2DS,2,2
10--EH8 7AN,2,2
10--EH8 7BA,3,2
10--EH8 7BE,2,2
10--EH8 7DB,3,3
10--EH8 7DQ,1,2
10--EH8 7EE,3,2
10--EH8 7EH,3,3
10--EH8 7EU,3,2
10--EH8 7QR,1,2
10--EH8 8EU,3,3
10--EH8 8JD,3,2
10--EH8 9AA,5,2
10--EH8 9HL,3,3
10--EH8 9HY,3,2
10--EH8 9NA,3,2
10--EH8 9PX,3,2
10--EH8 9QU,3,2
10--EH8 9SQ,1,2
10--EH8 9SS,2,2
10--EH9 1BQ,3,2
10--EH9 1DX,3,2
10--EH9 1EL,3,2
10--EH9 1HN,4,3
10--EH9 1JR,1,3
10--EH9 1JZ,3,3
10--EH9 1LU,3,2
10--EH9 1PA,3,2
10--EH9 1QT,3,3
10--EH9 2AG,3,2
10--EH9 2NJ,2,2
10--EH9 2NN,3,3
10--EH9 3DE,2,2
10-11-A----EH41 3LL,1,10
10-19-F----EH7 4FH,9,10
10-5--EH11 1AZ,1,1
10-5--EH6 4ST,2,1
10-50-A----EH41 3QA,0,10
10-54-A----EH32 9LG,4,10
10-56-A----EH41 4AF,6,10
10-57-A----EH41 3AN,7,10
10-60-A----EH41 3BG,0,10
10-65-A----EH41 3LN,5,10
10-7--EH3 9LA,3,2
10-A--EH15 1HZ,3,5
10-A--EH2 4PG,3,3
10-C--EH15 1EY,3,3
100--EH1 2HH,4,2
100--EH11 1LH,3,2
100--EH11 1LL,3,2
100--EH11 3HU,1,2
100--EH12 7JN,2,2
100--EH3 9PF,1,2
100--EH5 2PE,1,2
100--EH6 4PG,2,1
100--EH7 4HP,2,1
100--EH8 9LY,1,2
100--EH8 9NQ,4,3
100--EH8 9PT,3,2
100--EH9 1AS,3,2
100--EH9 1ET,3,2
100--G12 9ST,2,2
100-1--EH8 8DD,3,2
101--EH11 3BR,2,2
101--EH11 3HX,1,2
101--EH11 4NT,2,2
101--EH15 1AR,3,3
101--EH16 6DH,2,2
101--EH21 6PY,1,3
101--EH3 8AB,3,4
101--EH4 7JA,1,3
